0\0.png	招商银行（广州分行）
0\1.png	邮政银行
0\2.png	广东省普宁市/县
0\3.png	公明街道松白公路薯田埔村宝田医院
0\4.png	往来款
0\5.png	工业大道南路金碧花园第66-67栋108号房
0\6.png	平安银行平洲支行
0\7.png	中海油广东销售有限公司阳东新洲加油站
0\8.png	壹拾万元正
0\9.png	(大写)壹万元正
0\10.png	南海农商银行
0\11.png	广东南粤银行湛江华盛支行
0\12.png	连南瑶族自治县寨岗河边街营业所
0\13.png	中心幼儿园伙食费
0\14.png	罗定农商银行华石支行
0\15.png	拱北泰锋2离行自助单点24小时自助银行
0\16.png	平远县农村信用合作联社城西分社
0\17.png	(大写)肆佰贰拾元整
0\18.png	还款
0\19.png	往来款
0\20.png	柒万元整
0\21.png	广医学院3离行自助单点24小时自助银行
0\22.png	平远县农村信用合作联社上举信用社
0\23.png	广东省广州市/县
0\24.png	学费
0\25.png	财政局1离行自助单点24小时自助银行
0\26.png	丰顺县电信有限公司救济扶贫日捐款支持砂汤村工作经费
0\27.png	茂名农商银行
0\28.png	农行南海分行
0\29.png	鱼塘承包款
0\30.png	888街离行自助单点24小时自助银行
0\31.png	国控国大健丰(江门)医药连锁有限公司
0\32.png	珠海农商银行
0\33.png	电费
0\34.png	罗定市公房管理所
0\35.png	壹拾万零捌仟元整
0\36.png	(大写)壹仟壹佰柒拾元正
0\37.png	民生银行揭阳分行
0\38.png	虎门兴裕路支行在行自助银行24小时自助银行
0\39.png	租金
0\40.png	石岩街道办百旺信工业园世纪百货
0\41.png	广东省韶关市/县
0\42.png	肇庆市高要区第二中学食堂
0\43.png	始兴农商行隘子支行
0\44.png	广东省珠海市/县
0\45.png	潮州支行营业部在行自助银行24小时自助银行
0\46.png	港口支行
0\47.png	中国工商银行肇庆高要支行
0\48.png	怀集农商行
0\49.png	新城八号区连江路银盏温泉楼首层
0\50.png	新丰县第三幼儿园
0\51.png	文化广场支行在行自助银行24小时自助银行
0\52.png	车公庙工业区207号综合楼(车公庙)
0\53.png	北坡农业银行
0\54.png	分行营业部3离行自助单点24小时自助银行
0\55.png	广东省佛山市/县
0\56.png	大华支行在行自助银行24小时自助银行
0\57.png	收入
0\58.png	(大写)壹拾万元正
0\59.png	中国农业银行梅州分行
0\60.png	贰抗伍万元正
0\61.png	高新区深圳清华大学研究生院一楼北侧
0\62.png	茂名农商银行公馆支行
0\63.png	伙食费
0\64.png	茶阳厅话费
0\65.png	农行梅州市分行
0\66.png	购房
0\67.png	农商行
0\68.png	12000元押金、18000元租金
0\69.png	澣天科技城2离行自助单点24小时自助银行
0\70.png	英德农商行沙口分理处
0\71.png	清远市清新区农村信用合作联社珠坑分社
0\72.png	开平农商银行
0\73.png	承包款
0\74.png	中国工商银行惠东支行
0\75.png	往来
0\76.png	存还借支款
0\77.png	汇丰银行上海分行
0\78.png	英德市沙口镇高桥村民委员会
0\79.png	农行大湖溪支行
0\80.png	(大写)壹万元整
0\81.png	白云鞋厂离行自助单点24小时自助银行
0\82.png	中国银行茂名化州支行
0\83.png	乳源农商行
0\84.png	肇庆农商行
0\85.png	百花离行自助单点24小时自助银行
0\86.png	借地款
0\87.png	备注：验表费
0\88.png	肇庆农商行
0\89.png	台山农商行
0\90.png	肇庆农商行
0\91.png	广东省遂溪县第一中学
0\92.png	(大写)玖万陆仟捌佰陆拾叁元陆角陆分
0\93.png	伙食费
0\94.png	承包植树款
0\95.png	建安路离行自助银行24小时自助银行
0\96.png	8.28病人卡充值款
0\97.png	建设银行
0\98.png	广东省广州市/县
0\99.png	广东省英德市/县
0\100.png	肆万元整
0\101.png	发展银行广州分行
0\102.png	始兴县隘子镇中心幼心园
0\103.png	棠溪工业区2离行自助单点24小时自助银行
0\104.png	仪食费
0\105.png	博罗县卫生系统财务集中结算中心
0\106.png	(大写)壹仟陆佰元正
0\107.png	四会农商银行城区支行
0\108.png	退款
